TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpRewMean,ev_tdlam_before,loss_ent,EpLenMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpThisIter
1482240,-0.006946083,0.0,-1.8235685500664736,0.7761864960193634,0.4567048,893.09,0.0031771036,1597,0.0022443528,4666.844936609268,1
1482752,-0.0038934126,0.0,-1.8235685500664736,-0.06371426582336426,0.17031649,893.09,0.0025760536,1597,9.969402e-08,4667.311239719391,0
1483264,-0.01293857,0.0,-1.7307972193877643,0.8030478954315186,0.41754338,903.09,0.005767436,1598,0.0031712032,4667.774480342865,1
1483776,-0.0038532466,0.0,-1.7307972193877643,0.015277385711669922,0.1495225,903.09,0.0016726064,1598,1.1850567e-05,4668.220233678818,0
1484288,-0.004040648,0.0,-1.7291460708944717,0.05086934566497803,0.46753407,903.09,0.0037582328,1599,0.00012686182,4668.677679300308,1
1484800,-0.0027390467,0.0,-1.7291460708944717,0.15198397636413574,0.5264941,903.09,0.005009496,1599,7.438807e-06,4669.142984628677,0
1485312,-0.0065575265,0.0,-1.7298123794272013,0.7526809871196747,0.42371228,903.09,0.0045950636,1600,0.007308745,4669.60520029068,1
1485824,-0.00070379116,0.0,-1.7298123794272013,-0.01313161849975586,0.1476053,903.09,0.0013657203,1600,9.317495e-06,4670.066156864166,0
1486336,-0.0025433097,0.0,-1.7271146165246376,0.1483745574951172,0.47738117,903.09,0.0041868533,1601,7.430726e-05,4670.554991483688,1
1486848,0.00023810379,0.0,-1.7271146165246376,-0.005051732063293457,0.53712994,903.09,0.0115394285,1601,2.5389463e-06,4671.013603925705,0
1487360,-0.004258737,0.0,-1.7252049381965415,0.7062739431858063,0.52547354,903.09,0.0043753777,1602,8.6173895e-05,4671.473469734192,1
1487872,-0.0052456134,0.0,-1.7224348805432539,0.0037202835083007812,0.25345528,903.09,0.003009123,1603,8.844135e-05,4671.916525840759,1
1488384,-0.0065289047,0.0,-1.7224348805432539,0.7757532149553299,0.53158957,903.09,0.005449229,1603,2.5290297e-05,4672.384840488434,0
1488896,-0.0067426898,0.0,-1.7210343396124295,0.9946257066912949,0.26663992,903.09,0.0017148338,1604,0.00029216966,4672.840279340744,1
1489408,-0.010466179,0.0,-1.8137958970064085,0.38707518577575684,0.53633034,893.86,0.002900879,1605,0.17435074,4673.301287174225,1
1489920,-0.0029243026,0.0,-1.8137958970064085,0.0070490241050720215,0.24352455,893.86,0.0010809992,1605,2.759187e-05,4673.7637712955475,0
